singleton_204	1	2-Hacid_dh
singleton_205	1	HAMP
singleton_206	1	Response_reg
singleton_207	2	Pentapeptide_4
singleton_208	1	Pentapeptide_4
singleton_209	1	Acetyltransf_1
singleton_21	1	DHFR_1
singleton_210	1	Pentapeptide_4
singleton_211	1	FmrO
singleton_212	1	Acetyltransf_8
singleton_213	1	Lactamase_B
singleton_214	2	Pentapeptide_4
singleton_215	1	Methyltransf_31
singleton_216	1	DHFR_2
singleton_217	1	Acetyltransf_8
singleton_218	1	FAD_binding_3
singleton_219	1	FAD_binding_3
singleton_22	1	Acetyltransf_1
singleton_220	0	none
singleton_221	1	MFS_1
singleton_222	1	RrnaAD
singleton_223	1	ABC2_membrane
singleton_224	1	Methyltrans_SAM
singleton_225	1	Chlorophyllase2
singleton_226	1	ABC_tran_CTD
singleton_227	1	Acetyltransf_1
singleton_228	1	Pterin_bind
singleton_229	1	Transpeptidase
singleton_23	1	Acetyltransf_1
singleton_230	1	Beta-lactamase2
singleton_231	1	Lactamase_B
singleton_232	1	Lactamase_B_2
singleton_233	1	Pentapeptide_4
singleton_234	1	RrnaAD
singleton_235	0	none
singleton_236	1	CAT
singleton_237	0	none
singleton_238	1	Histone_HNS
singleton_239	1	GerE
singleton_24	1	PAP2
singleton_240	1	MarR
singleton_241	1	MFS_1
singleton_242	1	MarR
singleton_243	0	none
singleton_244	1	Acetyltransf_1
singleton_245	1	Radical_SAM
singleton_246	1	Acetyltransf_1
singleton_247	1	HlyD_D23
singleton_248	1	HTH_Crp_2
singleton_249	2	OEP
singleton_25	1	ABC2_membrane_4
singleton_250	1	FUSC
singleton_251	1	Biotin_lipoyl_2
singleton_252	1	PG_binding_4
singleton_253	1	PAP2
singleton_254	1	Multi_Drug_Res
singleton_255	1	Multi_Drug_Res
singleton_256	1	Glyoxalase
singleton_257	0	none
singleton_258	1	Beta-lactamase
singleton_259	0	none
singleton_26	1	SpoU_methylase
singleton_260	0	none
singleton_261	0	none
singleton_262	0	none
singleton_263	2	Pentapeptide_4
singleton_264	1	Acetyltransf_1
singleton_265	2	OEP
singleton_266	1	Glyoxalase
singleton_267	1	Beta-lactamase2
singleton_268	1	Porin_1
singleton_269	1	APH
singleton_27	1	Response_reg
singleton_270	1	APH
singleton_271	1	APH
singleton_272	1	Beta-lactamase2
singleton_273	1	Beta-lactamase2
singleton_274	1	EFG_C
singleton_275	1	Beta-lactamase2
singleton_276	1	Acetyltransf_1
singleton_277	1	DHFR_1
singleton_278	1	CAT
singleton_279	2	OEP
singleton_28	1	HAMP
